description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
"President Jack Ryan detects a pattern in outbreaks of violence around the world that point to the Russian president, but he must unite the Western allies before he can take action. Clancy died in 2013.","['greaney', 'mark', 'action', 'novels', 'military', 'campus', 'ending', 'russia', 'russian', 'events', 'president', 'current', 'kept', 'page', 'exciting', 'detail', 'plots', 'close', 'clark', 'typical']",TOM CLANCY: COMMANDER IN CHIEF,1602,"['Hardcover', '$11.00', '140', 'Used', 'from', '$0.49', '49', 'New', 'from', '$3.70', '9', 'Collectible', 'from', '$3.00', 'Paperback', '$8.99', '196', 'Used', 'from', '$0.25', '65', 'New', 'from', '$3.84', '2', 'Collectible', 'from', '$3.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.4 out of 5,http://www.amazon.com/Tom-Clancy-Commander-Chief-Novel/dp/0399176764?tag=NYTBS-20,7,11,4.4,pos,0.0333333333
The New Jersey bounty hunter Stephanie Plum pursues a fraternity member arrested for beating up a college dean and investigates a murder.,"['janet', 'evanovich', 'funny', 'laugh', 'ranger', 'loud', 'lula', 'morelli', 'grandma', 'novels', 'entertaining', 'usual', 'humor', 'laughing', 'mom', 'enjoyable', 'joe', 'hilarious', 'action', 'mystery']",TRICKY TWENTY-TWO,4956,"['Hardcover', '$12.87', '219', 'Used', 'from', '$1.99', '69', 'New', 'from', '$7.33', '19', 'Collectible', 'from', '$5.00', 'Paperback', '$19.04', '71', 'Used', 'from', '$2.49', '38', 'New', 'from', '$14.68', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.5 out of 5,http://www.amazon.com/Tricky-Twenty-Two-Stephanie-Plum-Novel-ebook/dp/B00TND3N7C?tag=NYTBS-20,7,12.87,4.5,pos,0.1363636364
"A young Southern California writer who survived a fatal diagnosis sets out to find a woman she has been told she must save, overcoming many obstacles in the process.","['koontz', 'dean', 'bibi', 'ending', 'twists', 'imagination', 'odd', 'pages', 'twist', 'page', 'turns', 'kept', 'novels', 'writer', 'thomas', 'suspense', 'finish', 'blair', 'slow', 'cancer']",ASHLEY BELL,1901,"['Hardcover', '$13.77', '107', 'Used', 'from', '$0.25', '27', 'New', 'from', '$4.74', '17', 'Collectible', 'from', '$6.95', 'Paperback', '$8.49', '160', 'Used', 'from', '$0.25', '65', 'New', 'from', '$3.19', '2', 'Collectible', 'from', '$15.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,3.9 out of 5,http://www.amazon.com/Ashley-Bell-Novel-Dean-Koontz-ebook/dp/B00VCZOKM6?tag=NYTBS-20,5,13.77,3.9,pos,0.1375
Mikael Blomkvist and Lisbeth Salander are back in this continuation of Stieg Larsson’s Millennium series.,"['lagercrantz', 'trilogy', 'previous', 'david', 'continuation', 'follow', 'steig', 'slow', 'dragon', 'larson', 'novels', 'blomkvist', 'continue', 'sequel', 'tattoo', 'continues', 'action', 'writer', 'mikael', 'page']",THE GIRL IN THE SPIDER'S WEB,10017,"['Hardcover', '$13.40', '285', 'Used', 'from', '$1.00', '96', 'New', 'from', '$6.97', '12', 'Collectible', 'from', '$9.90', 'Paperback', '$8.49', '94', 'Used', 'from', '$2.69', '65', 'New', 'from', '$3.19', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.0 out of ,http://www.amazon.com/The-Girl-Spiders-Web-continuing/dp/0385354282?tag=NYTBS-20,12,13.4,4,,0
A collection of three official prequels to “A Song of Ice and Fire.”,"['thrones', 'martin', 'egg', 'dunk', 'george', 'westeros', 'asoiaf', 'adventures', 'hedge', 'main', 'squire', 'fans', 'enjoyable', 'grrm', 'tales', 'illustrations', 'entertaining', 'prequel', 'duncan', 'events']",A KNIGHT OF THE SEVEN KINGDOMS,1780,"['Hardcover', '$17.10', '110', 'Used', 'from', '$6.19', '87', 'New', 'from', '$13.05', '14', 'Collectible', 'from', '$10.00', 'Paperback', '$12.80', '18', 'Used', 'from', '$5.38', '22', 'New', 'from', '$8.82', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$14.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.4 out of 5,http://www.amazon.com/Knight-Seven-Kingdoms-Song-Fire/dp/0345533488?tag=NYTBS-20,10,17.1,4.4,,0
"The retired detective Harry Bosch reluctantly agrees to help his half brother, a defense attorney.",[],THE CROSSING,3341,"['Hardcover', '$13.02', '65', 'Used', 'from', '$4.49', '41', 'New', 'from', '$6.31', '4', 'Collectible', 'from', '$17.95', 'Paperback', '$11.99', '223', 'Used', 'from', '$0.10', '70', 'New', 'from', '$5.99', '3', 'Collectible', 'from', '$10.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.5 out of 5,http://www.amazon.com/The-Crossing-Harry-Bosch-Novel-ebook/dp/B00U6DNZOY?tag=NYTBS-20,7,13.02,4.5,neg,-0.1666666667
A marriage viewed from two perspectives.,"['marriage', 'lotto', 'groff', 'mathilde', 'lauren', 'complex', 'main', 'told', 'finished', 'club', 'lives', 'pretentious', 'kept', 'prose', 'finish', 'view', 'perspective', 'relationship', 'pages', 'care']",FATES AND FURIES,1928,"['Hardcover', '$11.82', '294', 'Used', 'from', '$1.00', '86', 'New', 'from', '$4.18', '20', 'Collectible', 'from', '$10.00', 'Paperback', '$7.71', '203', 'Used', 'from', '$1.50', '95', 'New', 'from', '$2.48', '4', 'Collectible', 'from', '$9.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$4.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,3.4 out of 5,http://www.amazon.com/Fates-Furies-Novel-Lauren-Groff/dp/1594634475?tag=NYTBS-20,9,11.82,3.4,,0
The Imperial elite haven’t reckoned on the former rebel fighter Norra Wexley.,"['universe', 'wendig', 'canon', 'trilogy', 'galaxy', 'main', 'empire', 'interludes', 'chuck', 'disney', 'jedi', 'novels', 'care', 'han', 'present', 'movies', 'tense', 'action', 'fans', 'wedge']",STAR WARS: AFTERMATH,2764,"['Hardcover', '$15.18', '150', 'Used', 'from', '$1.40', '66', 'New', 'from', '$6.94', '5', 'Collectible', 'from', '$15.00', 'Paperback', '$8.99', '73', 'Used', 'from', '$1.54', '66', 'New', 'from', '$2.59', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-10,2.9 out of 5,http://www.amazon.com/Aftermath-Star-Journey-Force-Awakens/dp/034551162X?tag=NYTBS-20,3,15.18,2.9,,0
"The counterterrorism operative Mitch Rapp must control the damage from a leak of C.I.A. documents. Mills finished the book for Flynn, who died in 2013.","['vince', 'flynn', 'mills', 'kyle', 'action', 'continue', 'novels', 'miss', 'continues', 'continuing', 'previous', 'writer', 'passing', 'death', 'fans', 'lives', 'passed', 'alive', 'page', 'finished']",THE SURVIVOR,3762,"['Hardcover', '$9.0', 'Binding', '$36.95', '21', 'Used', 'from', '$5.48', '4', 'New', 'from', '$34.44', 'Paperback', '$11.01', '46', 'Used', 'from', '$2.66', '29', 'New', 'from', '$7.51', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-10,4.4 out of 5,http://www.amazon.com/Survivor-Mitch-Rapp-Novel-Book-ebook/dp/B00UDCI7RI?tag=NYTBS-20,6,9,4.4,,0
"When a wealthy, charming man who has been an absent father dies, he leaves bequests tailored to help his three daughters and troubled son achieve their dreams, and a special gift for his former wife.","['danielle', 'steel', 'steele', 'daughters', 'boring', 'mother', 'ending', 'enjoyable', 'veronique', 'finish', 'lives', 'predictable', 'writes', 'kept', 'usual', 'interest', 'finished', 'page', 'storyline', 'heart']",PRECIOUS GIFTS,565,"['Hardcover', '$17.60', '117', 'Used', 'from', '$0.96', '17', 'New', 'from', '$3.79', '3', 'Collectible', 'from', '$4.50', 'Paperback', '$20.49', '70', 'Used', 'from', '$2.29', '45', 'New', 'from', '$17.65', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-10,4.4 out of 5 s,http://www.amazon.com/Precious-Gifts-Novel-Danielle-Steel/dp/0345531035?tag=NYTBS-20,4,17.6,4.4,pos,0.2114285714
"A young refugee from the Nazis and the son of her family’s Japanese gardener must hide their love, although it lasts a lifetime.","['allende', 'isabel', 'alma', 'internment', 'historical', 'beautifully', 'lives', 'irina', 'camps', 'war', 'writer', 'main', 'wwii', 'development', 'ending', 'woman', 'developed', 'club', 'aging', 'tale']",THE JAPANESE LOVER,2417,"['Hardcover', '$17.39', '155', 'Used', 'from', '$0.99', '20', 'New', 'from', '$5.00', '13', 'Collectible', 'from', '$6.49', 'Paperback', '$10.85', '138', 'Used', 'from', '$1.90', '70', 'New', 'from', '$3.55', '3', 'Collectible', 'from', '$25.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.2 out of 5,http://www.amazon.com/The-Japanese-Lover-A-Novel-ebook/dp/B00URY5CE8?tag=NYTBS-20,1,17.39,4.2,pos,0.2
"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.","['jude', 'pages', 'abuse', 'beautifully', 'sad', 'friendship', 'main', 'lives', 'heart', 'yanagihara', 'heartbreaking', 'finished', 'childhood', 'page', 'college', 'willem', 'emotional', 'pain', 'depressing', 'men']",A LITTLE LIFE,3345,"['Hardcover', '$18.88', '107', 'Used', 'from', '$5.60', '73', 'New', 'from', '$10.14', '9', 'Collectible', 'from', '$23.00', 'Paperback', '$11.55', '113', 'Used', 'from', '$3.08', '56', 'New', 'from', '$6.57', '8', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$12.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,4.2 out of 5,http://www.amazon.com/A-Little-Life-Hanya-Yanagihara/dp/0804172706?tag=NYTBS-20,9,18.88,4.2,neg,-0.0568181818
"magical new twist on Alice’s Adventures in Wonderland, published to coincide with the 150th anniversary of Lewis’s Carroll’s beloved classic.","['maguire', 'wonderland', 'gregory', 'ada', 'wicked', 'hole', 'carroll', 'rabbit', 'sister', 'lewis', 'lydia', 'victorian', 'classic', 'oxford', 'darwin', 'falls', 'england', 'glass', 'words', 'siam']",AFTER ALICE,226,"['Hardcover', '$9.90', '119', 'Used', 'from', '$1.02', '66', 'New', 'from', '$2.95', '18', 'Collectible', 'from', '$7.10', 'Paperback', '$14.39', '90', 'Used', 'from', '$1.50', '57', 'New', 'from', '$8.01', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.24', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-17,3.4 out of 5 s,http://www.amazon.com/After-Alice-Novel-Gregory-Maguire/dp/0060548959?tag=NYTBS-20,0,9.9,3.4,pos,0.3757575758
"Three decades after the defeat of the Galactic Empire, a new threat arises; an adaptation of the screenplay of the new “Star Wars” movie.","['novelization', 'foster', 'scenes', 'alan', 'dean', 'details', 'insight', 'movies', 'added', 'rey', 'detail', 'script', 'saw', 'fans', 'poe', 'action', 'kylo', 'universe', 'questions', 'additional']",THE FORCE AWAKENS,929,"['Hardcover', '$15.62', '150', 'Used', 'from', '$1.60', '73', 'New', 'from', '$8.96', '5', 'Collectible', 'from', '$13.95', 'Paperback', '$9.99', '64', 'Used', 'from', '$1.36', '58', 'New', 'from', '$4.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-24,4.0 out of 5 s,http://www.amazon.com/The-Force-Awakens-Star-Wars/dp/1101965495?tag=NYTBS-20,5,15.62,4,pos,0.1363636364
"A Westchester man’s life is upended when he hosts a bachelor party for his brother, at which the strippers, who turn out to be Russian sex slaves, kill their pimps.","['bohjalian', 'sex', 'party', 'chris', 'bachelor', 'ending', 'trafficking', 'richard', 'girls', 'alexandra', 'brother', 'slave', 'human', 'young', 'page', 'russian', 'strippers', 'slaves', 'subject', 'told']",THE GUEST ROOM,826,"['Hardcover', '$14.67', '77', 'Used', 'from', '$1.99', '18', 'New', 'from', '$9.78', '6', 'Collectible', 'from', '$8.91', 'Paperback', '$10.87', '136', 'Used', 'from', '$1.46', '54', 'New', 'from', '$7.00', '1', 'Collectible', 'from', '$8.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-24,4.0 out of 5 s,http://www.amazon.com/The-Guest-Room-A-Novel-ebook/dp/B00VZZ07GG?tag=NYTBS-20,2,14.67,4,,0
A woman struggles with memories of her impoverished and disturbing childhood and its effect on the present as she attempts to reconcile with her mother.,"['strout', 'mother', 'elizabeth', 'childhood', 'olive', 'hospital', 'writer', 'relationship', 'woman', 'kitteridge', 'relationships', 'poverty', 'kept', 'sad', 'disappointing', 'visit', 'told', 'lives', 'beautifully', 'words']",MY NAME IS LUCY BARTON,2425,"['Hardcover', '$13.59', '232', 'Used', 'from', '$1.06', '83', 'New', 'from', '$2.00', '25', 'Collectible', 'from', '$5.42', 'Paperback', '$11.91', '198', 'Used', 'from', '$1.50', '92', 'New', 'from', '$4.63', '4', 'Collectible', 'from', '$12.51', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,3.5 out of 5,http://www.amazon.com/My-Name-Is-Lucy-Barton-ebook/dp/B011G3HG5G?tag=NYTBS-20,11,13.59,3.5,neg,-0.25
"In the 36th novel in the series, Stone Barrington hopes for a restful stay in the English countryside, but relationships with local neighbors complicate matters.","['woods', 'stuart', 'novels', 'mystery', 'predictable', 'boring', 'usual', 'rich', 'entertaining', 'england', 'adventure', 'enjoyable', 'women', 'typical', 'english', 'cars', 'pages', 'sex', 'write', 'beginning']",SCANDALOUS BEHAVIOR,902,"['Hardcover', '$10.92', '125', 'Used', 'from', '$0.50', '42', 'New', 'from', '$3.05', '9', 'Collectible', 'from', '$5.25', 'Paperback', '$8.99', '162', 'Used', 'from', '$1.00', '64', 'New', 'from', '$4.00', '1', 'Collectible', 'from', '$6.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-31,4.1 out of 5 s,http://www.amazon.com/Scandalous-Behavior-Stone-Barrington-Novel/dp/0399174680?tag=NYTBS-20,4,10.92,4.1,,0
"The fifth novel featuring the Minneapolis detectives Nikki Liska and Sam Kovac find them working on separate cases — hers a 20-year-old murder, his the killing of a professor and his wife with a samurai sword — that eventually intersect.","['hoag', 'tami', 'cold', 'twists', 'mystery', 'kept', 'ending', 'murder', 'cases', 'turns', 'nikki', 'partner', 'detectives', 'suspense', 'detective', 'homicide', 'guessing', 'sam', 'professor', 'page']",THE BITTER SEASON,809,"['Hardcover', '$9.63', '119', 'Used', 'from', '$0.49', '32', 'New', 'from', '$2.58', '6', 'Collectible', 'from', '$4.90', 'Paperback', '$7.99', '244', 'Used', 'from', '$1.00', '56', 'New', 'from', '$4.99', '2', 'Collectible', 'from', '$3.94', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-31,4.5 out of 5 s,http://www.amazon.com/The-Bitter-Season-Kovac-Liska/dp/0525954554?tag=NYTBS-20,3,9.63,4.5,,0
"In the final volume of the Ancient Rome trilogy, the great orator Cicero returns from exile and witnesses civil war, the end of the Roman Republic, Caesar’s assassination and the ensuing tumult.","['cicero', 'harris', 'roman', 'robert', 'historical', 'republic', 'caesar', 'tiro', 'third', 'final', 'secretary', 'novels', 'politics', 'events', 'political', 'slave', 'told', 'fiction', 'julius', 'orator']",DICTATOR,396,"['Hardcover', '$8.10', '68', 'Used', 'from', '$2.23', '39', 'New', 'from', '$3.73', '10', 'Collectible', 'from', '$26.51', 'Paperback', '$10.87', '78', 'Used', 'from', '$2.49', '50', 'New', 'from', '$9.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-31,4.6 out of 5 s,http://www.amazon.com/Dictator-novel-Ancient-Rome-Trilogy/dp/0307957942?tag=NYTBS-20,1,8.1,4.6,pos,0.4
"A sharp, funny, delightfully unhinged collection of stories set in the dark world of domesticity, American Housewife features murderous ladies who lunch, celebrity treasure hunters, and the best bra fitter south of the Mason Dixon line.","['funny', 'collection', 'ellis', 'humor', 'dark', 'women', 'club', 'hilarious', 'reality', 'dumpster', 'diving', 'woman', 'loud', 'entertaining', 'tampax', 'southern', 'fitter', 'laugh', 'helen', 'sense']",AMERICAN HOUSEWIFE,230,"['Hardcover', '$10.49', '89', 'Used', 'from', '$0.25', '33', 'New', 'from', '$4.98', '4', 'Collectible', 'from', '$7.00', 'Paperback', '$10.20', '106', 'Used', 'from', '$2.05', '59', 'New', 'from', '$6.12', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-31,3.6 out of 5 s,http://www.amazon.com/American-Housewife-Stories-Helen-Ellis/dp/0385541031?tag=NYTBS-20,0,10.49,3.6,pos,0.3291666667
